snapshot_id,sku_id,captured_at,price_usd,fx_rate_usd_jpy,price_jpy,source_type,source_url,confidence,effective_start_date,change_note
SAMPLE-SNAP-20260512-SKU-M365-E3,SKU-M365-E3,2026-05-12T09:00:00+09:00,33,152.4,5029.2,manual_sample,local://sample-pricing,Low,,推移表示用の仮単価。公式価格ではない。
OFFICIAL-SNAP-20260614090000-SKU-M365-E3,SKU-M365-E3,2026-06-14T09:00:00+09:00,36,155.2,5587.2,official_page,https://www.microsoft.com/en-us/microsoft-365/enterprise/microsoft-365-plans-and-pricing,High,,Microsoft 365 E3 official pricing checked 2026-06-14.
SAMPLE-SNAP-20260512-SKU-M365-E5,SKU-M365-E5,2026-05-12T09:00:00+09:00,57,152.4,8686.8,manual_sample,local://sample-pricing,Low,,推移表示用の仮単価。公式価格ではない。
OFFICIAL-SNAP-20260614090000-SKU-M365-E5,SKU-M365-E5,2026-06-14T09:00:00+09:00,57,155.2,8846.4,official_page,https://www.microsoft.com/en-us/microsoft-365/enterprise/microsoft-365-plans-and-pricing,High,,Microsoft 365 E5 official pricing checked 2026-06-14.
SAMPLE-SNAP-20260512-SKU-POWERAPPS-PREMIUM,SKU-POWERAPPS-PREMIUM,2026-05-12T09:00:00+09:00,20,152.4,3048,manual_sample,local://sample-pricing,Low,,推移表示用の仮単価。公式価格ではない。
OFFICIAL-SNAP-20260614090000-SKU-POWERAPPS-PREMIUM,SKU-POWERAPPS-PREMIUM,2026-06-14T09:00:00+09:00,20,155.2,3104,official_page,https://www.microsoft.com/en-us/power-platform/products/power-apps/pricing,High,,Power Apps Premium official pricing checked 2026-06-14.
SAMPLE-SNAP-20260512-SKU-POWERAUTOMATE-PREMIUM,SKU-POWERAUTOMATE-PREMIUM,2026-05-12T09:00:00+09:00,15,152.4,2286,manual_sample,local://sample-pricing,Low,,推移表示用の仮単価。公式価格ではない。
OFFICIAL-SNAP-20260614090000-SKU-POWERAUTOMATE-PREMIUM,SKU-POWERAUTOMATE-PREMIUM,2026-06-14T09:00:00+09:00,15,155.2,2328,official_page,https://www.microsoft.com/en-us/power-platform/products/power-automate/pricing,High,,Power Automate Premium official pricing checked 2026-06-14.
SAMPLE-SNAP-20260512-SKU-COPILOTSTUDIO-MESSAGES,SKU-COPILOTSTUDIO-MESSAGES,2026-05-12T09:00:00+09:00,200,152.4,30480,manual_sample,local://sample-pricing,Low,,推移表示用の仮単価。公式価格ではない。
OFFICIAL-SNAP-20260614090000-SKU-COPILOTSTUDIO-MESSAGES,SKU-COPILOTSTUDIO-MESSAGES,2026-06-14T09:00:00+09:00,200,155.2,31040,official_page,https://www.microsoft.com/en-us/power-platform/products/power-apps/pricing,High,,"Microsoft Copilot Studio capacity official pricing checked 2026-06-14."
SAMPLE-SNAP-20260512-SKU-POWERBI-PRO,SKU-POWERBI-PRO,2026-05-12T09:00:00+09:00,14,152.4,2133.6,manual_sample,local://sample-pricing,Low,,推移表示用の仮単価。公式価格ではない。
OFFICIAL-SNAP-20260614090000-SKU-POWERBI-PRO,SKU-POWERBI-PRO,2026-06-14T09:00:00+09:00,14,155.2,2172.8,official_page,https://www.microsoft.com/en-us/power-platform/products/power-bi/pricing,High,,Power BI Pro official pricing checked 2026-06-14.
